Latitude,Longitude,Entry,Name,Type,startdate,enddate,Architecture,Sculpture,Painting,Mosaic,Artifact,BartoliDrawing,Commissioner,Excavator,Owner,Collector,Entry Text,Notes,,,,,,,,,,,,,,,
41.888659,12.4976941,11,Santi Quattro,Vineyard,1655,1667,yes,no,yes,no,yes,,Agostini,,Millini,,"11. Santi Quattro. Nello stradone del Coliseo per andare a San Giovanni, alla mano dritto in un orto di sotto Santi Quattro fu trovato fra le altre rovine antiche una stufa di bellisima disposizione, quale si conosceva essere dagli antichi Christiani ridotta in forma di chiesa, per alcune immagini sacre, che vi erano dipinte, le quali dalla barbarie de’ cavatori, per non essere inibiti, furono di subito scassate; e nella parte di sotto, la quale serviva per officina del fuoco, era ridotta in cimiterio; come si vedrà nella figura, che sarà dimostrata in pianta: nel qual luogo ogni ripartimento avea, oltre le ossa del cadavere, li suoi lacrimatori, con altri segni dei Christiani; ma dei tempi antichi moderni. ",,,,,,,,,,,,,,,,
41.8889394,12.5133676,12,Basilica di Santa Croce in Gerusalemme [Giardino di Lelio Orsini],Garden,,,yes,yes,no,no,no,,,,Lelio Orsini,,"12. S. Croce in Gerusalemme. A santa Croce in Gerusalemme fu fatto cavare dall'eccellentissimo D. Lelio Orsini, duca di Bracciano, nel suo giardino, ove vi sono le Terme di santa Elena. Fu trovato in uno stanzone più profondo di tutti, ancorchè mezzo ripieno di terra, cinque bellissime statue; oltre una quantità grande di altri frammenti, e marmi, ovvero lastre d'incrostature, e pavimenti.",,,,,,,,,,,,,,,,
41.8834188,12.4955218,13,Cerchi. [Orto vicino de Mattei],Garden,1670,1676,yes,no,no,yes,no,yes,Bellori,,,Camillo Massimo,"13. Cerchi. In tempo di Clemente X. fu cavato nell'orto contiguo a quello de Mattei incontro la Marrana, dove si purificano le lane, e vi furono ritrovate vestigia di molte stufe, una tra le altre con bellissimo pavimento di musaico tutto figurato; e tra le altre cose due tegoloni di musaico, quali ebbe il cardinal de' Massimi, di grande erudizione (a).",,,,,,,,,,,,,,,,
41.8835457,12.4911992,14,Via Capena,Road,,,yes,yes,no,yes,yes,,,,,,"14. Nella via Capena. Nella strada, che conduce alla porta di s. Sebastiano, in una vigna a mano dritta fu scoperta una camera piena di sepolcri antichissimi, tutti ornati di marmi, stucchi, e musaici con molte lucerne di terra cotta.",,,,,,,,,,,,,,,,
41.8784053,12.4981234,15,Orto dietro s. Cesareo,Garden,,,no,yes,no,no,no,,,,Jesuits,,"15. Nella medesima via, all'orto dietro s. Cesareo vi furono trovate molte statue, e busti, che furono causa d'invogliare li Gesuiti, per aver l'orto contiguo di far cavare ancora loro; ma restarono delusi, non essendovi nient'altro, che muri (a).",,,,,,,,,,,,,,,,
41.8971715,12.4931408,16,San Lorenzo In Panisperna,Church,1655,1667,yes,yes,yes,yes,no,maybe,Agostini,Agostini,,Cardinal Barberini,"16. S. Lorenzo in Panisperna. Fu cavato d'ordine di Leonardo Agostini, ad istanza del cardinal Barberini, nel sito incontro s. Lorenzo in Panisperna, ove vi furono trovate grotte nobilmente ornate di pitture, stucchi, e musaici, e tra le altre una statua di Livia Augusta dell' altezza di 13. palmi (b). ",,,,,,,,,,,,,,,,
41.8968522,12.4929402,17,una nuova strada incontro s. Lorenzo in Panisperna [Cristina Regia],Road,1655,1667,yes,yes,no,no,yes,,Agostini,,,Queen Christina,"17. Nell'occasione di farsi una nuova strada incontro s. Lorenzo in Panisperna, vi furono trovati diversi residui di antichi edifizi; in un muro de' quali, messo per cemento, o materia, tra calce, e sassi fu trovato un bellissimo frammento di una Venere, la quale fu comprata dalla regina di Svezia, e ristorata da Ercole Ferrata (c). Vi furono trovati altri frammenti, ed in particolare una pivola di un Bacco dell'altezza di tre palmi, di metallo corintio. Vi furono trovate altre co se, ma si tacciono per più rispetti.",,,,,,,,,,,,,,,,
41.8939086,12.4917624,18,Carine [nell'orto che riguarda la chiesa della Madonna santissima de' Monti],Garden,1667,1670,yes,yes,no,no,yes,,Agostini,,,Rospigliosi,"18. Carine. Di sotto s. Francesco di Paola, nell'orto, che riguarda la chiesa della Madonna santissima de' Monti, in tempo di Clemente IX. furono scoperte stufe nobilissime, ove si trovarono vasi con odori preziosissimi; e tra le altre cose una Venere, ed un Giove; l'uno non finito, l'altra di estraordinaria grandezza, e bellezza, e di somma conservazione, le quali
ebbe la casa Rospigliosi.",,,,,,,,,,,,,,,,
41.8937468,12.4907058,19,Nel cortile della Concezione [Chiesa della Concezione e Monastero di Cappuccine dette Farnesiane],Church,1682,1682,yes,yes,no,no,yes,,Bellori,,,,"19. Nel cortile della Concezione nel 1682, fu fatta una cava profondissima, che alla comparazione del sito sembrava essere un pozzo. Furono trovati muri di smisurata grossezza, ed una scala, per la quale si disceneva alla strada di selci, conforme si faceva dagli antichi. A piedi di essa vi furono trovati li frammenti di un cavallo di bronzo di grandezza più del naturale, oltre un piccolo vaso di porfido. ",,,,,,,,,,,,,,,,
41.8911784,12.4979359,20,Orto de' Gualtieri o Panfilio,Garden,,,no,yes,no,no,no,,,,Gualtieri; Pamphili,,"20. Nell'orto del cardinal Gualtieri, o sia di Panfilio, furono trovate statue, busti, e marmi nobilissimi. ",,,,,,,,,,,,,,,,
41.8930496,12.4997938,21,Sette Sale,Church,1547,1547,yes,yes,no,no,no,,,,,Trivulzio,"21. Sette sale. Nel 1547. fu fatto cavare alla vigna delle Sette sale ad istanza del cardinal Trivulzio, ove furono trovate da venticinque statue, tutte intiere, di maravigliosa conservazione, e bellezza, oltre moltissime colonne, e marmi di gran pregio.",,,,,,,,,,,,,,,,
41.8945805,12.4983427,22,S. Martino de' Monti,Church,1644,1655,yes,yes,no,yes,no,,Menghini,,,,"22. S. Martino de' Monti. Nell'orto rincontro s. Martino de' Monti in tempo di papa Innocenzo X. Fu, nel cavarsi, trovata una stanza con pavimento di lapis lazzuli, e quattro statue, con una Roma sedente, che non si sa qual fine avessero.",,,,,,,,,,,,,,,,
41.8956747,12.5012258,23,Monte Esquilino [Orto di Cardinal Nerli],Garden,1655,1667,no,yes,no,no,no,,Agostini,,Cardinal Nerli,Queen Christina; Francesco Barderini,"23. Monte Esquilino. Nell' orto del duca di Acqua sparta, oggi del cardinal Nerli, furono trovate in pochissimo sito nove statue: tra queste alcune Muse, le quali ebbe la regina di Svezia (a), ed altre il cardinal Francesco Barberini. ",,,,,,,,,,,,,,,,
41.8910873,12.5039992,24,Vigna del marchese Palombara,Vineyard,1670,1676,yes,no,yes,no,no,maybe,Bellori,,Marchese Palombra,Camillo Massimo,"24. Nella vigna del marchese Palombara, passato s. Giuliano, alla mano dritta nell'andare a santa Croce in Gerusalemme, nel cavarsi fu trovata una bellissima stanza ornata di grotteschi, e paesi, che veduti dall'eminentissimo Massimi diede ordine la seguente mattina di farli cavare. Restò deluso quel nobile genio dalla barbarie de cavatori, che di notte tempo tutti li disfecero; eccetto uno di 24 palmi, che restò inavvedutamente illeso tra calcinacci, quale piacendo a Dio si vedrà alla stampa ben presto (b).",,,,,,,,,,,,,,,,
41.8938484,12.5094942,25,Vigna di Altieri,Vineyard,1644,1655,no,yes,no,no,yes,,Menghini,,Altieri,,"25. Partendosi dalli trofei di Mario per andare a porta Maggiore, nella vigna di Altieri in tempo di papa Innocenzo X. nello scassarsi furono trovati quantità grande di metalli, particolarmente bellissimi vasi dell'istessa materia; ma per più rispetti si stimò bene di non proseguire detta cava (a).",,,,,,,,,,,,,,,,
41.8960543,12.4978723,26,casa del sig. Pocavena [micromosaic],Palace,,,no,no,no,yes,no,maybe,,,Pocavena,,"26. Nel monte Esquilino, ove si è fatto un grande accrescimento di fabbriche, nel cavarsi i fondamenti della casa del sig. Pocavena fu trovato un pavimento di minutissimo musaico con diversi rabeschi, e uccellami, rappresentati al vivo di maniera eccellentissima. Notisi, che erano di diversi colori, e non di chiaro, e oscuro, come universalmente erano gli altri.",,,,,,,,,,,,,,,,
41.9002575,12.491996,27,Orto del signori Stati [Bagni di Agrippina],Garden,1670,1676,yes,yes,yes,yes,yes,,Bellori,,Stati,,"27. Valle Quirinale. Nella valle Quirinale si cavò in tempo di Clemente X. nell'orto del signori Stati, ove si scoperse gran parte delli bagni di Agrippina, nelli quali fu trovata una statua di Venere di altezza da nove palmi, quasi che intatta, e anche bella, quanto la Venere de' Medici. Vi furono trovate anche stanze dipinte, ed altre lavorate di musaico, con altre statue, busti, e frammenti (b).",,,,,,,,,,,,,,,,
41.8981383,12.4894855,28,Radici del Quirinale. [Palazzo Pianetti?],Palace,1570,1570,yes,no,no,yes,no,maybe,,,,,"28. Radici del Quirinale. Nel vicolo di monte Cavallo nell' andare alla Madonna de' Monti, nella casa contigua alla cantonata per voltare a s. Vitale, si vidde nel fare il pozzo, alla profondità di 60. palmi, un pavimento di musaico, che dava segno di quanto fosse molto più profondo, e precipitoso il declivio del monte.",,,,,,,,,,,,,,,,
41.8985601,12.4935691,29,S. Pudenziana [vigna delle monache di s. Lorenzo in Panisperna],Vineyard,1585,1590,yes,yes,no,no,yes,,,,Monks of S Lorenzo in Panisperna,,"29. S. Pudenziana. Di sopra s. Pudenziana nella vigna delle monache di s. Lorenzo in Panisperna in tempo di Sisto V. vi fu trovato un tempio tondo tutto di marmo con i fusti del medesimo, ove gli altri li facevano di legno, e metallo, entrovi le due statue del consoli (a); vaso, o sia candeliero, che non mi ricordo, nella medesima vigna sotto il portico del palazzetto.",,,,,,,,,,,,,,,,
41.9020564,12.4911062,30,Alta Semita/Palazzo Massimo,Palace,1655,1667,yes,yes,no,yes,no,maybe,Agostini,,Camillo Massimo,Camillo Massimo,"30. Alta Semita. Nel farsi li fondamenti della stalla, e fienile del cardinal de Massimi (b), fu trovata una bellissima stanza, ovvero tempio, con le nicchie attorno. Ivi erano collocate delle statue, ma in altri tempi levate; ove facendosi sbassare il piano del suo cortile del palazzo già fabbricato dalli signori Mattei, vi furono trovati bellissimi pavimenti di musaici, e marmi posati sopra il terreno vergine: onde nel declivio di detta stalla, e fienile si vedeva essere molto erto il detto colle.",,,,,,,,,,,,,,,,
41.9032063,12.4896285,31,Palazzo Barberini,Palace,1623,1644,yes,no,no,yes,yes,,Compagno,,Barberini,Barberini,"31. Similmente dalla parte opposta, sfogandosi il terreno attorno al primo piano del palazzo de signori Barberini, fu guasta parte delle mura fatte dal re…le quali appoggiavano il piano del colle: ed alli piedi di esse mura, ove fu fatto il fondamento per erigervi la Guglia, fattavi trasportare dalle vigne fuori di porta Maggiore, trovata in un Circo antico fuori di detta porta (a), v'era un grande stanzone contiguo agli altri, di altezza più di trenta palmi: sicché altri trenta essendo sino alla sommità del terreno vergine, di notava essere oltre modo precipitoso anche da questa parte. Sopra di detta sommità si è, nell' occasione di fare il transito per le carrozze, trovato un pavimento grandissimo, come di una piazza, o gran cortile, tutto di minuto musaico bianco, e negro, con bellissimi ripartimenti di vasi, e fiori. Nel detto stanzone vi fu trovata quantità grandissima di ossa umane.",,,,,,,,,,,,,,,,
41.9054262,12.494538,32,Orto de frati della Vittoria,Garden,1626,1626,no,yes,no,no,yes,,Compagno,,Frati della Vittoria,Scipione Borghese,"32. Nell'orto de frati della Vittoria, nel piantarsi una spalliera, vi fu trovato il bellissimo Ermafrodito di Borghese, che per averlo il card. Scipione fece la facciata della detta chiesa. Vi furono cavati ultimamente diversi marmi, e teste; ma quello, che si rese più cospicuo, fu un bellissimo cameo di Claudio, e la moglie. ",,,,,,,,,,,,,,,,
41.9150762,12.5098011,33,"Vigna [Piu avanti verso porta Pia, location unclear]",Vineyard,,,yes,no,no,no,no,,,,,Camillo Massimo,"33. Più avanti verso porta Pia, non mi ricordo in qual vigna, mi raccontò l'eminentissimo Massimi, che videle cavare le vestigia di un bellissimo tempio; la metà del quale era sopra terra: e nel suo tempo fu disfatto, ove vi furono trovate colonne, e marmi nobilissimi. ",,,,,,,,,,,,,,,,
41.9032002,12.4938883,34,S. Bernardo [orto],Garden,1590,1599,yes,no,no,no,no,,,,Caterina Sforza,,"34. S. Bernardo. Quando che la signora Caterina Sforza donò il suo orto alla religione di s. Bernardo, fu dalli detti religiosi fatto scassare; ed in tale occasione in alcune grotte vi furono trovate officine, come di orefici, nelle quali vi era così gran quantità di piombo, che ne fu coperta la cuppola della chiesa.",,,,,,,,,,,,,,,,
41.9058548,12.4871033,35,S. Isidoro,Church,1623,1644,yes,yes,no,no,no,,Compagno,,S Isidoro,Francesco Barberini,"35. S. Isidoro nel monte Pincio. Mi fu raccontato, che facendosi li fondamenti per la facciata della chiesa di s. Isidoro, il P. Luca Wading direttore di essa voleva li fondamenti più profondi di quello, che si era determinato; e nel cavare più basso, si scoperse una grotta, entrovi cinque statue, le quali furono comprate dal card. Francesco Barberini.",,,,,,,,,,,,,,,,
41.9027419,12.4883508,36,"Strada Rosella [Palazzo Grimani, Via Rasella]",Palace,1623,1644,yes,no,no,yes,yes,,Compagno,,Grimani,,"36. Strada Rosella. Fabbricandosi in strada Rosella il palazzo de' Grimani, oltre le molte fabbriche sotterranee, e antiche, si vidde un grosso condotto di acqua di somma perfezione, la quale non si sa di dove venga. Le vestigia di detto luogo si stimano, che siano del Foro Archemonio. Nelli fondamenti dalla parte della strada vi furono trovati alcuni corridori, o siano grotte tutte intonacate di stucco; una delle quasi di altezza di 11. palmi, larga dieci, quale va di sotto il giardino di monte Cavallo; e le altre voltano per altro verso. Era tutta pavimentata di nobilissimi marmi, come di alabastri, verde, giallo, ed altro; che rendeva stupore per quella bassezza: ed in un'altra poco minore, che seconda il declivio della strada, vi furono trovati alcuni vasi con ceneri, ed alcune figurine di metallo.",,,,,,,,,,,,,,,,
41.9023716,12.4858766,37,San Nicola in Arcione [Destroyed],Church,1670,1676,yes,yes,no,no,yes,,Bellori,,,,"37. S. Niccola in Archemonio. Incontro la chiesa di s. Niccola in Archemonio nella casa fabbricata dal coppiere di Clemente X. nel farsi i fondamenti furono trovate diverse grotte. La più parte vanno sotto il giardino di monte Cavallo. Vi fu trovata una statua, la quale era sopra di una cassa di materia, ove vi era un morto; e si crede, che vi fossero altre cose (a). ",,,,,,,,,,,,,,,,
41.9025036,12.4860352,38,Nella casa contigua [S. Nicola in Archemonio],Palace,,,yes,no,no,no,yes,,,,,,"38. Nella casa contigua al quartiere del soldati al fianco della chiesa di s. Niccola in Archemonio, dicono esservi come una quantità di botteghe, la più parte fatte rimurare per rispetto, che li vicini non abbiano comunicazione con le loro cantine.",,,,,,,,,,,,,,,,
41.9036625,12.483576,39,Sant'Andrea delle Fratte,Church,1604,1665,no,no,no,no,yes,,,Stefanoni,Marchese del Bufalo/ frati di Sant'Andrea,,"39. S. Andrea delle Fratte. Nel mille . . . facendo fabbricare il marchese del Bufalo la chiesa di S. Andrea delle Fratte, che per le fratte, e orti, che vi erano, ne prese la denominazione, il capomastro, ovvero chi si fosse, chiamato lo Stefanoni, nel cavare li fondamenti, trovò quantità grande di moneta, della quale molto celatamente seppe valersi in profitto della sua casa; ma come per lo più succede, li figliuoli dopo la morte di esso ne fecero un bravissimo scialacquo, consumandone quasi la più parte.",,,,,,,,,,,,,,,,
41.9056519,12.4798126,40,Campo Marzo. Strada delle carrozze,Road,1667,1670,no,yes,no,no,no,,Agostini,,,,"40. Campo Marzo. Nella strada delle carrozze, in un cortile di casa, dovendosi dare sfogo alle acque piovane, con farvi una chiavica, fu trovato in tempo di Clemente IX, un bellissimo torso d'imperatore.",,,,,,,,,,,,,,,,
41.9098581,12.4764555,41,Porta Flaminia. Madonna de Miracoli,Church,1675,1679,yes,no,no,no,no,,Bellori,,,,"41. Porta Flaminia. Alla piazza del Popolo nel cavarvi li fondamenti della nuova chiesa della Madonna de' Miracoli furono scoperti li fondamenti della piramide nella forma di quella di Cajo Cestio alla porta di s. Paolo, li marmi della quale si credono essere quelli, con i quali si vedono incamisciate le due torri laterali della detta porta del Popolo (a).",,,,,,,,,,,,,,,,
41.9040022,12.4794402,42,Nel Corso [Lanciani Palazzo Manfroni],Palace,,,yes,yes,no,no,no,,,,,Gianlorenzo Bernini,"42. Nel Corso. Raccontò il cavalier Bernini, che essendo chiamato per dare il suo parere nel rifondare alcuni muri nelle cantine di un palazzo situato nel Corso, nel disfarsi un grosso pilastro antico moderno, qual sosteneva la sommità di una volta, vi furono trovate sette statue ridotte in pezzi; in modo però, che si poterono ricongiungere li suoi pezzi, non mancandovene che pochi, o nessuno.",,,,,,,,,,,,,,,,
41.8982004,12.481446,43,Santa Maria in via Lata,Church,1655,1667,no,no,no,no,yes,,Agostini,Pietro da Cortona,,Fabrizio Chiari,"43. Via Lata. Nel cavarsi li fondamenti per la nuova facciata di s. Maria in Via lata , architettura del cavalier Pietro Berrettini da Cortona, fu scoperta un'urna sepolcrale di travertino con le ossa di Marcia Otacilia Severa, moglie dell'imperatore Filippo, condita in preziosissimo opobalsamo; ma per trascuraggine, o sciocchezza di chi dovea, fu messa in pezzi; e gettata ne calcinacci; tra li quali ne furono estratti alcuni pochi pezzetti per memoria dal sig. Fabrizio Chiari pittore insigne del nostro secolo (a).",,,,,,,,,,,,,,,,
41.8978702,12.4813774,44,Palazzo Pamphili al Corso,Palace,1644,1655,yes,no,no,no,no,,Menghini,Giovanni Maria Baratta,Pamphili,,"44. Nel risarcirsi il palazzo Panfilio al Corso, che fu al tempo d'Innocenzo X., raccontava Gio. Maria Baratta scarpellino, come anche un poco architetto, che perciò soprastava al detto lavoro, essersi Trovato nel cortile grande un tempio di non molta grandezza, ma di muri grossissimi di travertino; qual si conosceva essere stato molto ricco di ornamenti, ma tutti di stucco (b).",,,,,,,,,,,,,,,,
41.898794,12.4828046,45,Palazzo Muti at SS. Apostoli,Palace,1623,1644,no,yes,no,no,no,maybe,Compagno,,Colonna,Pamphili,"45. Ss. Apostoli. Nel rifondarsi il palazzo. de Muti a Ss. Apostoli fu trovato un bellissimo bassorilievo di Perseo, e di Andromeda, quale oggi si vede murato alla villa Panfilia nell' appartamento del palazzo. Ve ne furono trovati altri due pezzi del medesimo gusto; ma furono fatti spezzare, e gittare nel medesimo fondamento d'ordine del marchese, per rabbia, che gli fu levato a forza il compagno.",,,,,,,,,,,,,,,,
41.8992383,12.4839539,46,Piazza della Pilotta,Piazza,1660,1678,yes,yes,yes,yes,no,maybe,Bellori,,,,"46. Dietro il convento de Ss. Apostoli nella piazza, che riguarda il luogo, detto la Pilotta, nel fabbricarsi il palazzo alle radici del monte Quirinale, vi fu trovata una bellissima stanza tutta dipinta con pavimento di musaico, e tre statue tutte intiere, una a cavallo, e l'altre due in piedi, di maniera eccellente.",,,,,,,,,,,,,,,,
41.8988589,12.4818956,47,S. Marcello.,Church,1644,1660,yes,yes,no,no,no,,Menghini,,Frati di S Marcello,,"47. S. Marcello. Furono medesimamente nel terminarsi la fabbrica del convento di s. Marcello alla cantonata, che accompagna quella de' Muti, quale riguarda la piazza, nel cavarsi li fondamenti, trovati diversi marmi, e pezzi di colonne; tra le altre una statua colossea, la quale li frati, per non avere spesa, e incomodo, fecero ricoprire nelli medesimi fondamenti.",,,,,,,,,,,,,,,,
41.8956273,12.4845243,48,Foro Traiano. [Nel monastero delle monache dello Spirito Santo],Church,1655,1667,yes,no,no,no,no,,Agostini,Agostini,Frati di Santo Spirito,,"48. Foro Traiano. Nel monastero delle monache dello Spirito Santo alla colonna Traiana, si scoperse nel tempo di Alessandro VII. una colonna di africano lunga palmi 66; e mandato Leonardo Agostini per vederne le qualità, e misura, fu ritrovata, conforme la relazione avutane, di tutta perfezione. Nel medesimo luogo, in occasione di fabbricare, vi furono trovati bellissimi pezzi di colonne di giallo antico, delle quali ne fu cavato assai denaro (a).",,,,,,,,,,,,,,,,
41.8943364,12.4871425,49,Pantani. [Exact Findspot unclear  Placed at Arco dei Pantani],Public Land,1680,1681,yes,no,no,no,no,,Bellori,Capuchins,Capuchins,,"49. Pantani. Le Cappuccine a Pantani venderono nel 1681. un grossissimo pezzo di colonna scannellata di giallo antico, quale si congettura essere dell'istesso Foro di Trajano; ma io le giudico troppo lontane da esso, che a proporzione non poteva arrivare a tanta distanza.",,,,,,,,,,,,,,,,
41.8915592,12.4867872,50,Campo Vaccino,Public Land,1655,1667,yes,no,no,no,no,,Agostini,Agostini,,,"50. Campo Vaccino. Incontro Ss. Cosmo, e Damiano, nel mezzo appunto di campo Vaccino, fu cavato, in tempo del pontificato di Alessandro VII., da Leonardo Agostini; e vi si trovarono edifizi sotterranei in quantità tale, che non pareva, che mai vi fosse stata piazza alcuna: ben è vero, che non parevano delli tempi li più antichi.",,,,,,,,,,,,,,,,
41.8924586,12.4895386,51,Templum Pacis. [oggi delle zitelle di s. Filippo],Garden,1651,1662,yes,no,yes,no,no,maybe,Agostini,,Cardinal Pio/Zitelle di S Filippo,,"51. Templum Pacis. Al giardino del cardinal Pio, oggi delle zitelle di s. Filippo, dietro il tempio della Pace, fu disfatto il boschetto per ordine del direttore di dette zitelle, ove si trovarono stanze dipinte del buonissimo secolo; e per quanto sembravano, del tempo di Tito (b).",,,,,,,,,,,,,,,,
41.8855488,12.500371,52,Monte Celio [Villa de Fonseca],Villa,,1633,no,yes,no,no,no,,,,Fonseca,Scipione Borghese,"52. Monte Celio. Partendosi dall'ospedale di s. Giovanni in Laterano nell'andare verso s. Stefano Rotondo, nella villa de Fonseca vi fu tra le altre belle statue e trovato il bellissimo Centauro, che in oggi si vede alla villa Borghese (a). *(a) É probabilmente copia d'uno di quelli del Campidoglio nominati. ",,,,,,,,,,,,,,,,
41.8851897,12.4979911,53,foro Traiano. [Nel monastero delle monache dello Spirito Santo],Garden,1644,1655,yes,yes,no,no,no,,Menghini,Giovanni Francesco Grimaldi,Francesco Morelli,France,"53. Più oltre contiguo il detto luogo, nell'orto di Francesco Morelli, detto il cieco, per esser tale, cavandosi nel tempo d'Innocenzo X. ad istanza del marchese del Bufalo, con assistenza di Gio. Francesco Grimaldi pittore bolognese, tra le altre cose vi fu trovato un cortile di non molta grandezza, entrovi sette bellissime statue, le quali dal detto marchese furono mandate in Francia.",,,,,,,,,,,,,,,,
